Power
236.0
164.0
170.0
230.0
206.0
140.0
194.0
254.0
158.0
140.0
242.0
224.0
140.0
152.0
302.0
152.0
140.0
206.0
260.0
140.0
140.0
278.0
188.0
140.0
176.0
272.0
158.0
140.0
242.0
224.0
140.0
182.0
224.0
277.73333333333335
356.0
440.0
422.0
335.93333333333334
188.0
252.4
345.0
273.0
333.0
279.0
1416.3333333333333
892.3333333333334
285.0
241.66666666666666
206.0
212.0
140.0
212.0
230.0
164.0
146.66666666666666
253.0
217.0
145.0
175.0
283.0
163.0
145.0
223.0
253.0
145.0
146.66666666666666
390.0
336.0
300.0
342.0
444.0
300.0
300.0
414.0
372.0
5493.333333333333
5911.0
5611.333333333333
342.0
300.0
384.0
384.0
318.0
342.0
360.0
384.0
300.0
384.0
342.0
360.0
348.0
336.0
275.3333333333333
182.0
218.0
140.0
